brand_name,price,rating,has_5G,has_nfc,has_ir_blaster,processor_brand,num_cores,processor_speed,ram_capacity,internal_memory,battery_capacity,fast_charging_available,fast_charging,refresh_rate,num_rear_cameras,num_front_cameras,rear_main_camera,front_main_camera,os,extended_memory_available,extended_upto,ppi
others,3890,69,0,0,0,snapdragon,8,1.5,3,32,2500,0,0,60,1,1,13,13,android,1,64,440.58
vivo,14499,77,0,0,0,snapdragon,8,2.4,4,128,5000,1,44,60,3,1,50,16,android,1,1024,409.8
realme,25900,78,1,0,0,dimensity,8,2.5,6,128,4500,1,60,90,3,1,50,16,android,0,0,411.22
xiaomi,22999,86,1,1,1,snapdragon,8,2.4,8,128,4250,1,33,90,3,1,64,20,android,1,512,401.8
others,6999,66,0,0,1,unisoc,8,1.8,4,64,5000,0,0,60,2,1,13,5,android,1,256,269.1
motorola,7999,71,0,0,0,tiger,8,1.8,4,64,5000,0,0,90,3,1,48,8,android,1,1024,269.93
realme,8720,64,0,0,1,tiger,8,1.8,4,64,5000,1,10,60,1,1,8,5,android,1,1024,269.93
infinix,8299,63,0,0,0,helio,8,2.0,3,64,5000,0,0,60,2,1,8,5,android,1,512,257.26
oneplus,27999,84,1,1,0,dimensity,8,3.1,8,128,4200,1,120,90,3,1,50,32,android,0,0,409.3
xiaomi,19999,83,1,0,1,snapdragon,8,2.2,6,128,5000,1,67,120,3,1,108,16,android,1,1024,394.57
others,19990,80,0,1,0,snapdragon,8,2.0,8,128,5000,1,33,120,2,1,50,16,android,1,1024,404.89
vivo,15999,79,0,0,0,snapdragon,8,2.4,6,128,5000,1,44,60,3,1,50,16,android,1,1024,409.8
others,28498,81,1,1,0,snapdragon,8,2.2,6,128,4500,1,20,120,3,1,50,8,android,1,512,399.97
apple,74999,82,1,1,0,bionic,6,3.2,6,128,4325,1,20,60,2,1,12,12,ios,0,0,456.77
samsung,12364,76,0,0,0,helio,8,2.0,4,64,6000,1,15,90,4,1,64,20,android,1,1024,411.22
poco,34990,85,1,1,0,snapdragon,8,3.2,8,128,4700,1,67,120,3,1,64,32,android,0,0,392.81
motorola,7990,65,0,0,0,helio,8,1.8,3,32,5000,1,18,90,3,1,16,8,android,1,1024,269.93
vivo,42990,87,1,1,0,dimensity,8,3.2,12,256,4800,1,100,120,3,1,64,32,android,0,0,392.81
others,25899,72,0,1,0,helio,8,2.0,6,128,8000,0,0,60,3,1,16,8,android,1,0,287.01
xiaomi,54990,86,1,1,0,snapdragon,8,3.2,8,128,5000,1,67,120,3,1,50,20,android,0,0,521.41
xiaomi,15499,81,0,0,0,helio,8,2.0,6,128,5000,1,33,90,4,1,108,16,android,1,512,409.3
others,11999,71,0,0,0,unisoc,8,1.6,4,64,5050,1,18,90,3,1,50,8,android,1,512,269.93
others,24990,80,1,1,0,snapdragon,8,2.5,6,128,5000,1,33,120,2,1,50,16,android,0,0,401.8
xiaomi,14590,80,0,0,1,helio,8,2.0,6,64,5000,1,33,90,4,1,108,16,android,1,512,409.3
iqoo,29999,82,1,1,1,dimensity,8,3.1,8,128,5000,1,120,120,3,1,64,16,android,0,0,388.17
samsung,39990,78,0,1,1,snapdragon,8,2.2,6,128,3400,1,0,60,3,1,24,24,android,1,512,402.69
tecno,8390,63,0,0,0,helio,8,2.3,3,64,5000,0,0,90,2,1,13,8,android,1,256,265.84
realme,26499,81,1,0,1,snapdragon,8,3.2,8,128,5000,1,80,120,3,1,64,16,android,0,0,397.55
infinix,15999,78,1,0,0,dimensity,8,2.4,6,64,5000,1,33,60,3,1,50,16,android,1,1024,392.81
samsung,14990,67,0,1,0,exynos,8,1.9,4,64,5000,1,25,60,3,1,50,16,android,1,1024,398.66
vivo,15990,81,0,0,0,snapdragon,8,2.4,8,128,5000,1,18,90,3,1,50,16,android,1,1024,401.08
realme,8299,62,0,0,0,tiger,8,1.8,3,32,5000,0,0,60,3,1,13,5,android,1,1024,269.1
samsung,99990,82,1,1,0,snapdragon,8,3.0,8,128,5000,1,45,120,4,1,108,40,android,0,0,500.0
oneplus,32999,86,1,1,0,dimensity,8,2.8,8,128,5000,1,80,120,3,1,50,16,android,0,0,394.44
motorola,31990,84,1,1,0,snapdragon,8,2.2,8,128,4020,1,67,120,2,1,64,32,android,0,0,419.08
poco,13999,81,0,0,1,helio,8,2.0,8,128,5000,1,33,90,3,1,64,16,android,1,1024,409.3
others,8990,67,1,1,0,helio,8,2.3,4,64,5180,1,10,60,2,1,13,8,android,1,0,281.66
xiaomi,18499,83,1,0,1,dimensity,8,2.4,8,128,5000,1,33,90,2,1,50,16,android,1,1024,398.76
vivo,19990,83,1,0,0,snapdragon,8,2.2,8,128,5000,1,18,120,3,1,50,16,android,1,1024,401.08
vivo,29990,85,1,1,0,snapdragon,8,3.2,8,128,4600,1,66,120,3,1,64,50,android,0,0,388.17
others,39990,88,1,1,0,snapdragon,8,2.5,12,512,4800,1,66,120,3,1,54,32,android,0,0,394.57
xiaomi,15990,77,1,0,1,dimensity,8,2.2,6,128,5000,1,18,90,2,1,50,5,android,1,512,401.08
xiaomi,19999,81,1,1,1,snapdragon,8,2.4,8,128,5000,1,67,120,3,1,50,16,android,0,0,394.57
iqoo,34990,84,1,0,0,snapdragon,8,2.9,8,128,4350,1,120,120,3,1,48,16,android,0,0,397.86
vivo,14990,77,0,0,0,snapdragon,8,2.4,8,128,5000,1,18,90,2,1,50,8,android,1,1024,269.54
vivo,29999,86,1,1,0,dimensity,8,2.4,8,128,4000,1,33,90,3,1,64,44,android,1,256,408.67
others,89999,88,1,1,0,snapdragon,8,3.2,16,512,6000,1,65,165,3,1,50,12,android,0,0,394.64
xiaomi,24762,79,1,0,1,dimensity,8,2.6,6,128,5000,1,67,120,3,1,50,16,android,0,0,394.57
motorola,39999,89,1,1,0,snapdragon,8,3.2,8,128,4600,1,125,165,3,1,50,60,android,0,0,392.81
others,134999,85,1,1,0,snapdragon,8,2.8,12,512,4500,1,30,120,3,1,12,8,android,1,1024,642.63
realme,10990,76,1,0,1,dimensity,8,2.2,4,128,5000,1,18,60,3,1,48,16,android,1,512,404.89
xiaomi,19990,82,1,1,0,dimensity,8,2.8,6,128,5080,1,67,144,3,1,64,16,android,1,1024,407.07
xiaomi,12188,79,0,0,1,snapdragon,8,2.4,6,64,5000,1,33,90,4,1,50,13,android,1,512,409.3
vivo,11999,67,1,0,0,dimensity,8,2.0,4,128,6000,1,15,60,2,1,13,5,android,0,0,269.51
oppo,15988,79,0,0,0,snapdragon,8,2.0,6,128,5000,1,33,60,3,1,48,16,android,1,256,409.3
xiaomi,13990,69,1,0,0,dimensity,8,2.2,4,128,5000,1,18,90,2,1,50,5,android,0,0,401.08
motorola,8859,67,0,0,0,helio,8,1.8,4,64,5000,1,18,90,3,1,16,8,android,1,128,269.93
poco,32999,79,1,0,0,dimensity,8,3.0,6,128,5065,1,67,120,3,1,64,16,android,0,0,394.57
vivo,32990,84,1,0,0,snapdragon,8,2.4,8,256,5000,1,80,120,3,1,64,32,android,1,0,394.57
realme,10999,74,0,0,0,helio,8,2.0,4,64,5000,1,33,120,3,1,50,16,android,1,256,400.42
huawei,29990,82,0,0,0,snapdragon,8,2.4,8,128,4000,1,66,120,3,1,50,60,others,0,0,394.57
oppo,92249,87,1,1,0,snapdragon,8,2.8,8,256,4500,1,33,120,3,1,50,32,android,0,0,369.91
xiaomi,10499,72,0,0,0,helio,8,2.3,6,128,5000,0,0,60,2,1,13,5,android,1,512,268.69
others,30990,86,1,1,0,snapdragon,8,2.5,8,256,4800,1,66,120,3,1,54,32,android,0,0,394.57
realme,14999,76,1,0,0,dimensity,8,2.4,4,128,5000,1,33,90,3,1,48,16,android,1,1024,398.76
vivo,41990,88,1,1,1,dimensity,8,3.0,8,128,4810,1,120,120,3,1,50,32,android,0,0,452.87
others,46990,84,1,1,0,snapdragon,8,3.2,8,128,6000,1,80,120,3,1,50,16,android,0,0,399.93
apple,95999,82,1,1,0,bionic,6,3.2,6,512,3279,1,0,60,2,1,12,12,ios,0,0,457.25
poco,28990,85,1,1,0,dimensity,8,2.8,8,256,5080,1,67,144,3,1,64,16,android,0,0,407.07
oppo,23990,79,1,0,1,dimensity,8,2.4,12,256,5000,1,33,90,2,1,48,8,android,1,1024,401.19
oppo,20999,82,0,0,0,snapdragon,8,2.4,8,128,4500,1,33,90,3,1,64,32,android,1,256,404.89
oppo,26380,83,1,1,0,dimensity,8,2.0,8,128,4300,1,65,90,3,1,64,32,android,0,0,409.3
xiaomi,13999,79,1,0,1,dimensity,8,2.2,6,128,5000,1,18,90,3,1,48,8,android,1,1024,404.89
samsung,31999,87,1,1,0,exynos,8,2.4,6,128,5000,1,25,120,4,1,64,32,android,1,1024,404.89
xiaomi,17999,81,0,0,1,helio,8,2.0,6,128,5000,1,67,120,4,1,108,16,android,1,1024,394.57
realme,15999,78,0,0,0,helio,8,2.0,4,128,5000,1,30,60,4,1,64,16,android,1,256,411.22
samsung,12120,75,0,0,0,helio,8,2.0,4,64,6000,1,15,90,4,1,64,20,android,1,1024,411.22
